tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2021-06-28,10508678,155071,146340,6718,2013,116376,10237231,10520929,155572,146675,6882,2015,114843,10250514,12251,501,335,164,2,-1533,13283
2021-06-29,10520929,155572,146675,6882,2015,114843,10250514,10555741,156167,147077,7073,2017,116858,10282716,34812,595,402,191,2,2015,32202
2021-06-30,10555741,156167,147077,7073,2017,116858,10282716,10579072,156961,147693,7250,2018,114110,10308001,23331,794,616,177,1,-2748,25285
2021-07-01,10579072,156961,147693,7250,2018,114110,10308001,10614317,157723,148024,7678,2021,124925,10331669,35245,762,331,428,3,10815,23668
2021-07-02,10614317,157723,148024,7678,2021,124925,10331669,10641603,158549,148319,8206,2024,130666,10352388,27286,826,295,528,3,5741,20719
2021-07-03,10641602,158548,148319,8205,2024,130666,10352388,10670617,159342,149132,8185,2025,133909,10377366,29015,794,813,-20,1,3243,24978
2021-07-04,10670617,159341,149132,8184,2025,133909,10377367,10685125,160084,149614,8444,2026,136297,10388744,14508,743,482,260,1,2388,11377
2021-07-05,10685125,160084,149614,8444,2026,136297,10388744,10700134,160795,150044,8723,2028,134893,10404446,15009,711,430,279,2,-1404,15702
2021-07-06,10700134,160795,150044,8723,2028,134893,10404446,10735716,161541,150760,8749,2032,141699,10432476,35582,746,716,26,4,6806,28030
2021-07-07,10735716,161541,150760,8749,2032,141699,10432476,10766502,162753,151500,9220,2033,142748,10461001,30786,1212,740,471,1,1049,28525
2021-07-08,10766502,162753,151500,9220,2033,142748,10461001,10802782,164028,151923,10071,2034,151158,10487596,36280,1275,423,851,1,8410,26595
2021-07-09,10802782,164028,151923,10071,2034,151158,10487596,10844217,165344,152498,10810,2036,160468,10518405,41435,1316,575,739,2,9310,30809
2021-07-10,10844217,165344,152498,10810,2036,160468,10518405,10881640,166722,153153,11531,2038,169719,10545199,37423,1378,655,721,2,9251,26794
2021-07-11,10881640,166722,153153,11531,2038,169719,10545199,10902278,168046,153760,12243,2043,176062,10558170,20638,1324,607,712,5,6343,12971
2021-07-12,10902278,168046,153760,12243,2043,176062,10558170,10919898,169146,154187,12915,2044,174671,10576081,17620,1100,427,672,1,-1391,17911
2021-07-13,10919898,169146,154187,12915,2044,174671,10576081,10964299,170296,154752,13498,2046,179130,10614873,44401,1150,565,583,2,4459,38792
2021-07-14,10964299,170296,154752,13498,2046,179130,10614873,11008859,171911,155491,14372,2048,181905,10655043,44560,1615,739,874,2,2775,40170
2021-07-15,11008859,171911,155491,14372,2048,181905,10655043,11060456,173511,156509,14952,2050,204479,10682466,51597,1600,1018,580,2,22574,27423
2021-07-16,11060455,173510,156509,14951,2050,204479,10682467,11108584,175046,157113,15882,2051,218192,10715346,48128,1536,604,931,1,13713,32879
2021-07-17,11108584,175045,157113,15881,2051,218192,10715347,11149226,176500,157960,16485,2055,227636,10745090,40642,1455,847,604,4,9444,29743
2021-07-18,11149226,176497,157960,16482,2055,227636,10745093,11175981,177951,158953,16941,2057,235438,10762592,26755,1454,993,459,2,7802,17499
2021-07-19,11175981,177951,158953,16941,2057,235438,10762592,11202434,179203,159630,17515,2058,240689,10782542,26453,1252,677,574,1,5251,19950
2021-07-20,11202434,179203,159630,17515,2058,240689,10782542,11251987,180481,160347,18075,2059,244671,10826835,49553,1278,717,560,1,3982,44293
2021-07-21,11251987,180481,160347,18075,2059,244671,10826835,11298677,182265,161634,18571,2060,252187,10864225,46690,1784,1287,496,1,7516,37390
2021-07-22,11298673,182261,161634,18567,2060,252187,10864225,11343918,184103,163073,18967,2063,269496,10890319,45245,1842,1439,400,3,17309,26094
2021-07-23,11343918,184103,163073,18967,2063,269496,10890319,11388305,185733,164206,19461,2066,278011,10924561,44387,1630,1133,494,3,8515,34242
2021-07-24,11388305,185733,164206,19461,2066,278011,10924561,11430525,187362,165246,20048,2068,274697,10968466,42220,1629,1040,587,2,-3314,43905
2021-07-25,11430525,187361,165246,20047,2068,274697,10968467,11453347,188848,166375,20400,2073,274761,10989738,22822,1487,1129,353,5,64,21271
2021-07-26,11453347,188848,166375,20400,2073,274761,10989738,11472346,190166,167365,20724,2077,281003,11001177,18999,1318,990,324,4,6242,11439
2021-07-27,11472346,190166,167365,20724,2077,281003,11001177,11528609,191531,168629,20823,2079,309414,11027664,56263,1365,1264,99,2,28411,26487
2021-07-28,11528609,191531,168629,20823,2079,309414,11027664,11585615,193427,170494,20850,2083,323954,11068234,57006,1896,1865,27,4,14540,40570
2021-07-29,11585613,193425,170494,20848,2083,323954,11068234,11637506,195099,171559,21455,2085,342326,11100081,51893,1674,1065,607,2,18372,31847
2021-07-30,11637506,195096,171559,21452,2085,342326,11100084,11681261,196806,172757,21960,2089,357215,11128947,43755,1710,1198,508,4,14889,28863
2021-07-31,11682968,196806,172757,21960,2089,357215,11128947,11728821,198345,174177,22073,2095,369201,11161275,45853,1539,1420,113,6,11986,32328
2021-08-01,11728821,198345,174177,22073,2095,369201,11161275,11751786,199787,175674,22015,2098,378600,11173399,22965,1442,1497,-58,3,9399,12124
2021-08-02,11751785,199783,175674,22011,2098,378600,11173402,11772605,201002,176605,22298,2099,387170,11184433,20820,1219,931,287,1,8570,11031
